passage_id,doc_id,title,passage_text,url
passage_000001,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 1 - Phạm vi điều chỉnh: Luật này quy định về đối tượng chịu thuế, đối tượng không chịu thuế, người nộp thuế, căn cứ và phương pháp tính thuế, khấu trừ và hoàn thuế giá trị gia tăng",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000002,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 2 - Thuế giá trị gia tăng: Thuế giá trị gia tăng là thuế tính trên giá trị tăng thêm của hàng hóa, dịch vụ phát sinh trong quá trình từ sản xuất, lưu thông đến tiêu dùng",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000003,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 3 - Đối tượng chịu thuế: Hàng hóa, dịch vụ sử dụng cho sản xuất, kinh doanh và tiêu dùng ở Việt Nam là đối tượng chịu thuế giá trị gia tăng, trừ các đối tượng quy định tại Điều 5 của Luật này",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000004,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 4 - Người nộp thuế. Khoản 1: Tổ chức, hộ, cá nhân sản xuất, kinh doanh hàng hóa, dịch vụ chịu thuế giá trị gia tăng (sau đây gọi là cơ sở kinh doanh)",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000005,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 4 - Người nộp thuế. Khoản 2: Tổ chức, cá nhân nhập khẩu hàng hóa chịu thuế giá trị gia tăng (sau đây gọi là người nhập khẩu)",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000006,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 4 - Người nộp thuế. Khoản 3: Tổ chức, cá nhân sản xuất, kinh doanh tại Việt Nam mua dịch vụ (kể cả trường hợp mua dịch vụ gắn với hàng hóa) của tổ chức nước ngoài không có cơ sở thường trú tại Việt Nam, cá nhân ở nước ngoài là đối tượng không cư trú tại Việt Nam, trừ trường hợp quy định tại khoản 4 và khoản 5 Điều này; tổ chức sản xuất, kinh doanh tại Việt Nam mua hàng hóa, dịch vụ để tiến hành hoạt động tìm kiếm thăm dò, phát triển mỏ dầu khí và khai thác dầu khí của tổ chức nước ngoài không có cơ sở thường trú tại Việt Nam, cá nhân ở nước ngoài là đối tượng không cư trú tại Việt Nam",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000007,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 4 - Người nộp thuế. Khoản 4: Nhà cung cấp nước ngoài không có cơ sở thường trú tại Việt Nam có hoạt động kinh doanh thương mại điện tử, kinh doanh dựa trên nền tảng số với tổ chức, cá nhân tại Việt Nam (sau đây gọi là nhà cung cấp nước ngoài); tổ chức là nhà quản lý nền tảng số nước ngoài thực hiện khấu trừ, nộp thay nghĩa vụ thuế phải nộp của nhà cung cấp nước ngoài; tổ chức kinh doanh tại Việt Nam áp dụng phương pháp tính thuế giá trị gia tăng là phương pháp khấu trừ thuế mua dịch vụ của nhà cung cấp nước ngoài không có cơ sở thường trú tại Việt Nam thông qua kênh thương mại điện tử hoặc các nền tảng số thực hiện khấu trừ, nộp thay nghĩa vụ thuế phải nộp của nhà cung cấp nước ngoài",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000008,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 4 - Người nộp thuế. Khoản 5: Tổ chức là nhà quản lý sàn giao dịch thương mại điện tử, nhà quản lý nền tảng số có chức năng thanh toán thực hiện khấu trừ, nộp thuế thay, kê khai số thuế đã khấu trừ cho hộ kinh doanh, cá nhân kinh doanh trên sàn thương mại điện tử, nền tảng số",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000009,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 5 - Đối tượng không chịu thuế. Khoản 1: Sản phẩm cây trồng, rừng trồng, chăn nuôi, thủy sản nuôi trồng, đánh bắt chưa chế biến thành các sản phẩm khác hoặc chỉ qua sơ chế thông thường của tổ chức, cá nhân tự sản xuất, đánh bắt bán ra và ở khâu nhập khẩu. Doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã mua sản phẩm cây trồng, rừng trồng, chăn nuôi, thủy sản nuôi trồng, đánh bắt chưa chế biến thành các sản phẩm khác hoặc chỉ qua sơ chế thông thường bán cho doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã khác thì không phải kê khai, tính nộp thuế giá trị gia tăng nhưng được khấu trừ thuế giá trị gia tăng đầu vào",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000010,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 5 - Đối tượng không chịu thuế. Khoản 2: Sản phẩm giống vật nuôi theo quy định của pháp luật về chăn nuôi, vật liệu nhân giống cây trồng theo quy định của pháp luật về trồng trọt",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000011,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,Chương I - Những quy định chung. Điều 5 - Đối tượng không chịu thuế. Khoản 3: Thức ăn chăn nuôi theo quy định của pháp luật về chăn nuôi; thức ăn thủy sản theo quy định của pháp luật về thủy sản,https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000012,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,"Chương I - Những quy định chung. Điều 5 - Đối tượng không chịu thuế. Khoản 4: Sản phẩm muối được sản xuất từ nước biển, muối mỏ tự nhiên, muối tinh, muối i-ốt mà thành phần chính là Na-tri-clo-rua (NaCl)",https://vanban.chinhphu.vn/?docid=216941&pageid=27160
passage_000013,doc_000001,VBHN 12/VBHN-VPQH năm 2026 - Luật Thuế giá trị gia tăng,Chương I - Những quy định chung. Điều 5 - Đối tượng không chịu thuế. Khoản 5: Nhà ở thuộc tài sản công do Nhà nước bán cho người đang thuê,https://vanban.chinhphu.vn/?docid=216941&pageid=27160
